leaf_id,sample_id,n_cells,cluster_size,patient_id
0,SPECTRUM-OV-087_S1_INFRACOLIC_OMENTUM,380,362,SPECTRUM-OV-087
0,SPECTRUM-OV-105_S1_INFRACOLIC_OMENTUM,375,372,SPECTRUM-OV-105
0,SPECTRUM-OV-107_S1_RIGHT_ADNEXA,22,248,SPECTRUM-OV-107
0,SPECTRUM-OV-107_S1_SMALL_BOWEL_MESENTERY,236,248,SPECTRUM-OV-107
1,SPECTRUM-OV-107_S1_RIGHT_ADNEXA,26,125,SPECTRUM-OV-107
1,SPECTRUM-OV-107_S1_SMALL_BOWEL_MESENTERY,106,125,SPECTRUM-OV-107
2,SPECTRUM-OV-107_S1_RIGHT_ADNEXA,71,69,SPECTRUM-OV-107
2,SPECTRUM-OV-107_S1_SMALL_BOWEL_MESENTERY,0,69,SPECTRUM-OV-107
0,SPECTRUM-OV-110_S1_BOWEL,5,51,SPECTRUM-OV-110
0,SPECTRUM-OV-110_S1_INFRACOLIC_OMENTUM,51,51,SPECTRUM-OV-110
0,SPECTRUM-OV-115_S1_RIGHT_OVARY,143,138,SPECTRUM-OV-115
1,SPECTRUM-OV-115_S1_RIGHT_OVARY,273,266,SPECTRUM-OV-115
2,SPECTRUM-OV-115_S1_RIGHT_OVARY,101,98,SPECTRUM-OV-115
3,SPECTRUM-OV-115_S1_RIGHT_OVARY,95,90,SPECTRUM-OV-115
0/2/3,SPECTRUM-OV-118_S1_LEFT_ADNEXA,189,189,SPECTRUM-OV-118
1/4,SPECTRUM-OV-118_S1_LEFT_ADNEXA,151,149,SPECTRUM-OV-118
0,SPECTRUM-OV-129_S1_INFRACOLIC_OMENTUM,184,179,SPECTRUM-OV-129
1,SPECTRUM-OV-129_S1_INFRACOLIC_OMENTUM,116,113,SPECTRUM-OV-129
2,SPECTRUM-OV-129_S1_INFRACOLIC_OMENTUM,166,161,SPECTRUM-OV-129
3,SPECTRUM-OV-129_S1_INFRACOLIC_OMENTUM,20,20,SPECTRUM-OV-129
4,SPECTRUM-OV-129_S1_INFRACOLIC_OMENTUM,157,154,SPECTRUM-OV-129
0,SPECTRUM-OV-133_S1_LEFT_FALLOPIAN_TUBE,186,181,SPECTRUM-OV-133
1,SPECTRUM-OV-133_S1_LEFT_FALLOPIAN_TUBE,139,135,SPECTRUM-OV-133
0,SPECTRUM-OV-139_S1_RIGHT_OVARY_AND_FALLOPIAN_TUBE,1317,1144,SPECTRUM-OV-139
1,SPECTRUM-OV-139_S1_RIGHT_OVARY_AND_FALLOPIAN_TUBE,85,79,SPECTRUM-OV-139
