,patient_id,sample_id,total_sequenced_cells,low_quality_cells,normal_cells,aberrant_normal_cells,sphase_cells,doublets,too_short_135_segment_cells,filter_passing_cells,0xWGD_cells,1xWGD_cells,2xWGD_cells,divergent_cells,0xWGD_divergent_cells,1xWGD_divergent_cells,2xWGD_divergent_cells,highquality_mean_total_mapped_reads,highquality_mean_coverage_depth,highquality_mean_coverage_breadth,highquality_mean_quality,highquality_mean_ploidy,highquality_mean_fraction_loh,highquality_mean_breakpoints,filtered_mean_total_mapped_reads,filtered_mean_coverage_depth,filtered_mean_coverage_breadth,filtered_mean_quality,filtered_mean_ploidy,filtered_mean_fraction_loh,filtered_mean_breakpoints
30,SPECTRUM-OV-044,SPECTRUM-OV-044_S1_RIGHT_FALLOPIAN_TUBE,860,126,15,22,20,0,3,674,0,668,6,5,0.0,0.0,5.0,5562974.223433242,0.0921090544959128,0.08471937969731108,0.9927683923705722,2.780481419769729,0.15653584768185802,61.35558583106267,5558044.421364985,0.09179359495548961,0.08448423730310961,0.994406528189911,2.804352102724901,0.16459401442846808,58.52670623145401
31,SPECTRUM-OV-044,SPECTRUM-OV-044_S1_RIGHT_OMENTUM,1720,449,255,27,4,3,1,981,0,980,1,3,0.0,2.0,1.0,6893289.313139261,0.15024634854445318,0.13675423023331942,0.9762250196695514,2.685046478962216,0.11231119625395579,30.411487018095986,7283705.468909277,0.1594637869520897,0.1445225234754784,0.9723853211009174,2.859345874521101,0.1418867510964704,35.52599388379205
32,SPECTRUM-OV-045,SPECTRUM-OV-045_S1_INFRACOLIC_OMENTUM,2868,1522,623,27,27,3,0,666,0,660,6,14,0.0,8.0,6.0,1520590.867013373,0.03876923699851411,0.03699755149387509,0.989739970282318,2.455280151882593,0.2727153676022486,30.315007429420504,1687915.6861861863,0.044197264264264256,0.042000604275312145,0.9885345345345345,2.8349139707035333,0.5227733493862526,41.432432432432435
33,SPECTRUM-OV-045,SPECTRUM-OV-045_S1_LEFT_OVARY,1740,1193,36,0,6,1,0,504,0,495,9,13,0.0,11.0,2.0,5180049.517367459,0.07950574040219378,0.07401325110418921,0.9168848263254114,2.8935194993497064,0.46305571234804,34.82632541133455,5198865.450396826,0.07968383928571428,0.07411248657815657,0.914484126984127,2.9444670520873775,0.4940773352351693,35.8531746031746
34,SPECTRUM-OV-045,SPECTRUM-OV-045_S1_PELVIC_IMPLANT,1760,851,332,37,15,2,3,520,2,502,16,24,2.0,7.0,15.0,2924100.8536853683,0.06353369966996698,0.059771807378613,0.9925412541254126,2.510070838226756,0.3187383715330058,39.66996699669967,3202132.344230769,0.07099379038461538,0.06647559766029537,0.9920307692307693,2.822209105974179,0.5344394718185042,46.698076923076925
35,SPECTRUM-OV-045,SPECTRUM-OV-045_S1_RIGHT_OVARY,1185,241,755,4,3,0,0,182,16,165,1,6,0.0,5.0,1.0,1580035.6493644067,0.03711915042372881,0.03568414535273755,0.9942245762711864,2.1562619657031274,0.10460975943138322,17.885593220338983,1773304.543956044,0.042807164835164835,0.04089605452276659,0.9836923076923078,2.699858230967023,0.5269015546665315,37.31868131868132
36,SPECTRUM-OV-046,SPECTRUM-OV-046_S1_INFRACOLIC_OMENTUM,3264,1796,917,78,26,22,1,424,388,34,2,6,0.0,4.0,2.0,2128600.3841961855,0.0480323514986376,0.04556233092724371,0.9835163487738419,2.0324960489250703,0.16541709584865674,40.700272479564035,2214430.0,0.05002031603773585,0.04702084194741119,0.9631462264150944,1.938674264715923,0.5017635706927801,86.57783018867924
37,SPECTRUM-OV-046,SPECTRUM-OV-046_S1_LEFT_ADNEXA,1735,686,773,16,9,21,2,228,204,21,3,10,2.0,5.0,3.0,2497783.404194471,0.05923422878932316,0.056109783352014754,0.9916320305052431,2.0361172585573173,0.12568721453215387,32.13441372735939,2597885.6359649124,0.060497157894736836,0.05665985958100292,0.9767280701754385,1.987155718444458,0.49853397026313767,86.77631578947368
38,SPECTRUM-OV-049,SPECTRUM-OV-049_S1_INFRACOLIC_OMENTUM,1720,335,922,201,8,4,0,250,0,240,10,14,0.0,4.0,10.0,3285947.780505415,0.053643658483754506,0.050553742329709606,0.9874830324909747,2.2828591353553196,0.07430757111744853,55.454873646209386,5047466.468,0.08509868799999999,0.07843258575339275,0.948888,3.2646853843250705,0.36708704784130686,184.972
39,SPECTRUM-OV-050,SPECTRUM-OV-050_S1_INFRACOLIC_OMENTUM,977,179,340,129,10,4,0,315,307,4,4,4,0.0,3.0,1.0,5104230.77443609,0.05258939223057643,0.04912576822769304,0.9844010025062657,1.9582494120850384,0.19054689926104987,50.730576441102755,4926632.234920635,0.050638025396825395,0.04715432014845485,0.9702285714285714,1.8358619903229738,0.45074247110175253,88.44761904761904
40,SPECTRUM-OV-051,SPECTRUM-OV-051_S1_BOWEL,577,535,8,0,0,0,0,34,0,34,0,1,0.0,1.0,0.0,2642366.880952381,0.06246907142857141,0.058511077088102305,0.9233809523809524,2.6518745517179108,0.20497494315296816,112.97619047619048,2745517.5,0.06517061764705881,0.06087804269494687,0.9107058823529411,2.8017348086942353,0.25112492841364636,134.14705882352942
41,SPECTRUM-OV-051,SPECTRUM-OV-051_S1_INFRACOLIC_OMENTUM,2052,1504,135,2,4,1,0,406,1,405,0,1,1.0,0.0,0.0,1973531.9562043797,0.05170488686131385,0.04935262399910284,0.9542189781021898,2.6161700621993713,0.19206183229613985,92.78832116788321,2127187.4950738917,0.05552595320197043,0.05279501408611193,0.941807881773399,2.8139795399677174,0.2552806648533472,120.14285714285714
42,SPECTRUM-OV-051,SPECTRUM-OV-051_S1_RIGHT_ADNEXA,818,495,217,27,5,0,0,74,1,73,0,1,1.0,0.0,0.0,1650931.3157894737,0.03780071207430339,0.03615652161328437,0.9776656346749226,2.213350361562466,0.08478694896449168,46.01857585139319,1927861.1486486488,0.04400664864864863,0.04178631688007052,0.9517567567567569,2.790192123500778,0.2610795774912604,125.51351351351352
43,SPECTRUM-OV-051,SPECTRUM-OV-051_S1_RIGHT_OVARY,925,779,93,7,0,0,0,46,0,46,0,1,0.0,1.0,0.0,1498341.2602739725,0.03614161643835615,0.034518126692380136,0.9143287671232876,2.2748668609701292,0.09514101904598594,37.78767123287671,1942143.4782608696,0.04763302173913043,0.045087219858105244,0.8711304347826088,2.7669034668458545,0.26000282195480834,98.6304347826087
44,SPECTRUM-OV-052,SPECTRUM-OV-052_S1_INFRACOLIC_OMENTUM,1720,436,136,180,19,17,0,932,0,912,20,9,0.0,3.0,6.0,5492217.280373832,0.09120454750778816,0.08359870650833012,0.9723940809968848,2.4606530065550696,0.37420806382721283,114.6588785046729,5742693.805793991,0.09670528969957082,0.08827597442637951,0.9665021459227467,2.5981471763803836,0.4941963685002239,137.63948497854076
45,SPECTRUM-OV-052,SPECTRUM-OV-052_S1_RIGHT_ADNEXA,1258,987,153,3,4,0,0,111,0,110,1,0,,,,2792355.298892989,0.06125529520295203,0.05703246285144565,0.9607749077490775,2.1840018741001175,0.2358696797075598,62.14391143911439,3032579.2342342343,0.06786929729729729,0.06261759697177284,0.9196396396396396,2.424905207641746,0.5438709650221115,121.48648648648648
46,SPECTRUM-OV-065,SPECTRUM-OV-065_S1_INFRACOLIC_OMENTUM,838,764,44,3,3,0,0,24,0,24,0,2,0.0,2.0,0.0,6545200.77027027,0.13682894594594594,0.12120025624748956,0.9516216216216217,2.5111964800985125,0.1077753711900053,67.41891891891892,9088116.625,0.19400549999999997,0.16551572417534302,0.8895833333333334,3.314313132907737,0.28167828106852494,140.29166666666666
